timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Color_Punto_Dist,Confianza_Validacion,Requiere_Verificacion,Metodo_Validacion,Nota_Validacion,Version_OCR
1769318640,2026-01-25 05:24:00,2026-01-25 02:24:00,Puyehue-Cordon Caulle,VIIRS375,0.62,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-25/05-24-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-01-25 09:58:41,2026-01-25 09:58:41,NO,rojo,alta,False,rojo_dominante_con_estrella,Píxeles rojos dominantes en ROI - Evento real,1.0
1769318280,2026-01-25 05:18:00,2026-01-25 02:18:00,Lascar,VIIRS375,0.34,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lascar/2026-01-25/05-18-00_Lascar_VIIRS375_VRP_VERIFICAR.png,2026-01-25 09:58:12,2026-01-25 09:58:12,NO,mezcla,media,True,mezcla_con_estrella,Mezcla rojos/negros - Evento en zona límite (VRP=0.34 MW),1.0
1769277600,2026-01-24 18:00:00,2026-01-24 15:00:00,Copahue,VIIRS375,0.29,0.0,FALSO_POSITIVO_OCR,Bajo,No descargada - Evento descartado,2026-01-25 09:58:37,2026-01-25 09:58:37,NO,sin_punto,alta,False,sin_pixeles_roi,Sin píxeles en ROI - Evento fuera de ventana temporal,1.0
1769233320,2026-01-24 05:42:00,2026-01-24 02:42:00,Puyehue-Cordon Caulle,VIIRS375,0.88,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-24/05-42-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-01-24 09:56:39,2026-01-24 09:56:39,NO,rojo,alta,False,rojo_dominante_con_estrella,Píxeles rojos dominantes en ROI - Evento real,1.0
1769233320,2026-01-24 05:42:00,2026-01-24 02:42:00,Chaiten,VIIRS375,0.23,0.0,FALSO_POSITIVO_OCR,Bajo,No descargada - Evento descartado,2026-01-24 09:56:45,2026-01-24 09:56:45,NO,negro,alta,False,negro_dominante_con_estrella,Píxeles negros dominantes - Fuera de límite distancia,1.0
1769148000,2026-01-23 06:00:00,2026-01-23 03:00:00,Puyehue-Cordon Caulle,VIIRS375,0.85,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-23/06-00-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-01-23 10:04:34,2026-01-23 10:04:34,NO,rojo,alta,False,rojo_dominante_con_estrella,Píxeles rojos dominantes en ROI - Evento real,1.0
1769148000,2026-01-23 06:00:00,2026-01-23 03:00:00,Chaiten,VIIRS375,0.17,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-23/06-00-00_Chaiten_VIIRS375_VRP.png,2026-01-23 10:04:40,2026-01-23 10:04:40,NO,rojo,alta,False,solo_rojos_densidad,Píxeles rojos dominantes en ROI - Evento real,1.0
1769063761,2026-01-22 06:36:01,2026-01-22 03:36:01,Lastarria,VIIRS375,0.64,0.0,FALSO_POSITIVO_OCR,Bajo,No descargada - Evento descartado,2026-01-22 06:40:53,2026-01-22 06:40:53,NO,sin_punto,alta,False,sin_pixeles_roi,Sin píxeles en ROI - Evento fuera de ventana temporal,1.0
1769062320,2026-01-22 06:12:00,2026-01-22 03:12:00,Isluga,VIIRS375,1.71,0.0,FALSO_POSITIVO_OCR,Medio,No descargada - Evento descartado,2026-01-22 10:07:25,2026-01-22 10:07:25,NO,sin_punto,alta,False,sin_pixeles_roi,Sin píxeles en ROI - Evento fuera de ventana temporal,1.0
1768971600,2026-01-21 05:00:00,2026-01-21 02:00:00,Puyehue-Cordon Caulle,VIIRS375,0.32,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-01-21/05-00-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-01-22 01:05:56,2026-01-22 01:05:56,NO,rojo,alta,False,solo_rojos_densidad,Píxeles rojos dominantes en ROI - Evento real,1.0
1768886280,2026-01-20 05:18:00,2026-01-20 02:18:00,Chaiten,VIIRS375,0.07,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-01-20/05-18-00_Chaiten_VIIRS375_VRP_VERIFICAR.png,2026-01-21 16:49:31,2026-01-21 16:49:31,NO,sin_punto,baja,True,sin_pixeles_roi,"Sin puntos en ROI, VRP=0.07 MW",1.0
